2019-12-12 22:02:15.003595 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'cvs.bucket.reh' 'key': '5000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,bucketname,containerID,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,key,latency,newcontainer,payload,roundTripTime,runtime,test val,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,15,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]9cad4d622fbb46b1913b4ec2e5f3c04e,457461,40,4,0,0,0,1034,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,159,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13331,9,32.74,5000_Sales_Records.csv,19455.93,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19739.93,284.75,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,6989a267-0b7b-45ad-b1d1-164ea8b90fa2,xz9EVy,28,0,1576214569
0,9,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c27e05edced4a61b97baf946372392d,1520522,33,3,0,0,0,1187,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,159,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13649,12,30.25,5000_Sales_Records.csv,19704.62,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19950.62,246.26,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ef14f5b4-da11-4a46-b76f-8c1b1abaac8a,FF5lrB,85,0,1576209251
0,43,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]98990e4639ef487fb11223180b91892c,1323205,31,3,0,0,0,1106,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,155,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13452,11,32.02,5000_Sales_Records.csv,18694.72,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},18937.72,243.41,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,b9621e7b-6523-468e-b063-c87d2e05c71c,k96uNr,83,1,1576210239
0,45,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]10715454892849c7b2229a315ace5fd0,1605919,35,5,0,0,0,1116,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,169,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13403,9,30.7,5000_Sales_Records.csv,18609.18,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},18866.18,257.97,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,05330795-b904-47cb-94db-3d701d567fe3,MVrY3p,94,0,1576208826
0,33,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]7eb4385aca1a4667a4d7e065ac904479,1627108,31,3,0,0,0,1122,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,169,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13533,10,31.45,5000_Sales_Records.csv,19030.99,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19268.99,238.18,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,fa4fea52-2068-4edd-b033-1c96b5a922e1,3v7pY9,66,0,1576208720
0,23,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c27e05edced4a61b97baf946372392d,1520559,37,3,0,0,0,1191,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,159,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13661,10,30.56,5000_Sales_Records.csv,19348.5,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19614.5,266.67,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ef14f5b4-da11-4a46-b76f-8c1b1abaac8a,FF5lrB,85,0,1576209251
0,41,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]10715454892849c7b2229a315ace5fd0,1605991,38,5,0,0,0,1120,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,170,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13413,10,30.46,5000_Sales_Records.csv,18786.39,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19059.39,273.95,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,05330795-b904-47cb-94db-3d701d567fe3,MVrY3p,94,0,1576208826
0,8,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]9cad4d622fbb46b1913b4ec2e5f3c04e,457505,37,4,0,0,0,1042,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,159,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13341,11,31.53,5000_Sales_Records.csv,19838.34,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},20106.34,268.7,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,6989a267-0b7b-45ad-b1d1-164ea8b90fa2,xz9EVy,28,0,1576214569
0,6,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]4229e51b50564d68bd033141fa73a8f3,1265052,38,3,0,0,0,1154,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,172,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13562,12,29.79,5000_Sales_Records.csv,19887.52,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},20157.52,270.93,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ffbcd644-27d4-497f-9ef1-259c8f40fb76,L0oQFg,73,0,1576210530
0,12,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c27e05edced4a61b97baf946372392d,1520487,32,3,0,0,0,1183,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,158,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13639,9,30.36,5000_Sales_Records.csv,19766.48,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},20009.48,243.38,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ef14f5b4-da11-4a46-b76f-8c1b1abaac8a,FF5lrB,85,0,1576209251
